Title,Author,Type,Notes
Jane Eyre (1847),Amy Corzine and Charlotte Brontë,Novel,Jane Eyre was censored because the CCP deemed it socially corrupting to the youth of China during the Cultural Revolution.
Alice's Adventures in Wonderland (1865),Lewis Carroll,Children's Novel/Adventure,"Alice's Adventures in Wonderland was banned in the province of Hunan, China by the KMT's government, beginning in 1931, due to its portrayal of anthropomorphized animals which act with the same level of complexity as human beings. The censor General Ho Chien believed that attributing human language to animals was an insult to humans. He feared that the book would teach children to believe that humans and animals were on the same level, a result which would be ""disastrous."""
Various works,Shen Congwen (1902–1988),Novels,"""Denounced by the Communists and Nationalists alike, Mr. Shen saw his writings banned in Taiwan, while mainland [China] publishing houses burned his books and destroyed printing plates for his novels. .... So successful was the effort to erase Mr. Shen's name from the modern literary record that few younger Chinese today recognize his name, much less the breadth of his work. Only since 1978 has the Chinese Government reissued selections of his writings, although in editions of only a few thousand copies. .... In China, his passing was unreported."""
Life and Death in Shanghai (1986),Nien Cheng,Autobiography,It is about the author's personal tortured experience during the Cultural Revolution.
Soul Mountain (1989),Gao Xingjian,Novel,"Gao Xingjian won the 2000 Nobel Prize in Literature for the book, however all of his works have been banned for having content critical of the CCP."
"White Snow, Red Blood (1989)",Zhang Zhenglong,Non-fiction novel,"Banned in 1990, and both the author and publishers were imprisoned for publishing it. The book includes information about atrocities committed by the Red Army during the siege of Changchun, the smuggling of opium by senior Party leader Wang Zhen during the Chinese Civil War, and claims that China's official description of the ""Lin Biao affair"" is inaccurate."
Wild Swans: Three Daughters of China (1991),Jung Chang,Family history,It talked about brutal political upheavals in China and purges of the Cultural Revolution.
Yellow Peril (1991),Wang Lixiong,Novel,Banned. The book contains episodes of a fictional collapse of Chinese communist rule.
Zhuan Falun (1993),Li Hongzhi,Spiritual/Political,Banned in mainland China.
The Private Life of Chairman Mao (1994),Li Zhisui,Memoir,Banned for exploring Mao's private life.
One Man's Bible (1999),Gao Xingjian,Novel,All of Gao Xingjian's works have been banned for having content critical of the CCP.
"How the Red Sun Rose: The Origins and Development of the Yan'an Rectification Movement, 1930-1945 (2000)",Gao Hua,History,Banned for exploring in detail Mao Zedong in the Yan'an Rectification and the internal struggles of the CCP.
Shanghai Baby (2001),Wei Hui,Semi-autobiographical novel,"Banned. Burned in the street and the publisher was shut down for three months because of its sexual and drug-related content, which has been accused of being ""immoral"" by the government. Other writers have accused the book of plagiarism."
The Tiananmen Papers (2001),Compiled by Zhang Liang,Compilation of selected Chinese official documents,Controversy about this book include authenticity of selected documents and selection bias.
Candy (2003),Mian Mian,Novel,"Chinese government censored it because it was, ""a poster child for spiritual pollution""."
Death Note (2003 – 2006),Tsugumi Ohba,Japanese Manga,"Officially banned, but discussion and pirated copies are allowed to circulate."
Zhou Enlai: The Last Perfect Revolutionary (2003 or 2008),Gao Wenqian,Biography,Banned in China.
Buying a Fishing Rod for My Grandfather (2004),Gao Xingjian,Short story collections,All of Gao Xingjian's works have been banned for having content critical of the CCP.
I Love My Mum (2004),Chen Xiwo,Political,A novella in which the relationship between Chinese citizens and their government are metaphorically portrayed as a cognitively impaired man in extreme sexual situations with their mother.
Will the Boat Sink the Water (2004),Chen Guidi and Wu Chuntao,Academic study,"Banned for exploring peasant protests. Sold an estimated 7 million pirated copies, despite being almost immediately banned by China's propaganda department."
Mao: The Unknown Story (2005),Jung Chang,Political,Banned due to depicting Chairman Mao Zedong as a fascist leader against his people. Book reviews have also been banned.
Lingren Wangshi (2005),Zhang Yihe,Non-fiction,"The book, which documents the experiences of Peking Opera artists during the Anti-Rightist Campaign and the Cultural Revolution, was banned by the General Administration of Press and Publication in 2007."
Dream of Ding Village (2006),Yan Lianke,Novel,"Banned for discussing AIDS in rural China (Plasma Economy), the ban had reportedly been lifted."
Serve the People! (2008),Yan Lianke,Novel,"Banned for ""slandering Mao Zedong"", and depicting images of sex."
"Tombstone: The Great Chinese Famine, 1958-1962 [zh; fr] (2008)",Yang Jisheng,History,"Published in Hong Kong, banned for discussing the Great Chinese Famine."
"Big River, Big Sea — Untold Stories of 1949 (2009)",Lung Ying-tai,Non-Fiction,"It sold over 100,000 copies in Taiwan and 10,000 in Hong Kong in its first month of release, but discussion of her work was banned in mainland China following the book launch."
Prisoner of the State (2009),Zhao Ziyang,Memoir,Banned. The book is memoirs by former Chinese General Secretary Zhao Ziyang.
China's Best Actor: Wen Jiabao (2010),Yu Jie,Political,Published in Hong Kong and banned in mainland China. Author moved to the United States in 2012.
"Bloody Myth: An Account of the Cultural Revolution Massacre of 1967 in Daoxian, Hunan (血的神话: 公元1967年湖南道县文革大屠杀纪实) (2012)",Tan Hecheng,Non-fiction,An account of murders in a rural district of China during Mao Zedong's Cultural Revolution. Banned for 26 years and released in 2012.
Moving Away from the Imperial Regime (2015),Qin Hui,Political,"Banned. The book explores the unfulfilled promise of constitutional democracy, and another historian suggests that it may have been banned because the topic deals with the Chinese dynastic cycle."
Capital and Ideology (2019),Thomas Piketty,Economy,Banned for discussing China's income inequality and for refusing to accept censorship for a planned translation.
"Unfree Speech: The Threat to Global Democracy and Why We Must Act, Now (2020)",Joshua Wong,Political,Censored due to inciting secession. Taken out of libraries because of the Hong Kong national security law.
The Chongzhen Emperor: Diligent Ruler of a Failed Dynasty (2023),Chen Wutong,History,"Censored due to popular comparisons between the final emperor of the Ming dynasty, the Chongzhen Emperor, and Xi Jinping."
