Title,Author(s),Year published,Type,Notes
The Decameron,Giovanni Boccaccio,1353,Story collection,"Banned from US mail under the Federal Anti-Obscenity Act (Comstock Law) of 1873, which banned the sending or receiving of works containing ""obscene"", ""filthy"", or ""inappropriate"" material."
The Canterbury Tales,Geoffrey Chaucer,late 14th century,Story collection,"Banned from US mail under the Federal Anti-Obscenity Act (Comstock Law) of 1873, which banned the sending or receiving of works containing ""obscene"", ""filthy"", or ""inappropriate"" material. U.S. obscenity laws were overturned in 1959 by the Supreme Court in Kingsley Pictures Corp. v. Regents."
The Meritorious Price of Our Redemption (1650),William Pynchon,1650,Religious critique,"The first book banned in the New World. Pynchon, a prominent leader of the Massachusetts Bay Colony who, in 1636, founded the City of Springfield, Massachusetts, wrote this explicit critique of Puritanism, published in London in 1650. That year, several copies made their way back to the New World. Pynchon, who resided in Springfield, was unaware that his book suffered the New World's first book burning, on the Boston Common. Accused of heresy by the Massachusetts General Court, Pynchon quietly transferred ownership of the Connecticut River Valley's largest land-holdings to his son, and then suffered indignities as he left the New World for England. It was the first work banned in Boston."
Moll Flanders or The Fortunes and Misfortunes of the Famous Moll Flanders (1722),Daniel Defoe,1722,Novel,"Banned from US mail under the Federal Anti-Obscenity Act (Comstock Law) of 1873, which banned the sending or receiving of works containing ""obscene"", ""filthy"", or ""inappropriate"" material. U.S. obscenity laws were overturned in 1959 by the Supreme Court in Kingsley Pictures Corp. v. Regents."
Fanny Hill or Memoirs of a Woman of Pleasure,John Cleland,1748,Novel,"Banned in the US in 1821 for obscenity, then again in 1963. This was the last book ever banned by the US government. U.S. obscenity laws were overturned in 1959 by the Supreme Court in Kingsley Pictures Corp. v. Regents. See also Memoirs v. Massachusetts."
Candide,Voltaire,1759,Novel,Seized by US Customs in 1930 for obscenity. U.S. obscenity laws were overturned in 1959 by the Supreme Court in Kingsley Pictures Corp. v. Regents.
Uncle Tom's Cabin (1852),Harriet Beecher Stowe,1852,Novel,"Banned in the Confederate States during the Civil War because of its anti-slavery content. In 1852, Uncle Tom's Cabin was banned in Russia in the reign of Nicholas I because of the idea of equality it presented, and for its ""undermining religious ideals""."
Elmer Gantry,Sinclair Lewis,1927,Novel,"Banned in Boston, Massachusetts, Kansas City, Missouri, Camden, New Jersey, and other US cities, this novel by Sinclair focused on religiosity and hypocrisy in the United States during the 1920s by depicting a preacher (the Reverend Dr. Elmer Gantry) as a protagonist who preferred easy money, alcohol, and ""enticing young girls"" to saving souls, while converting a traveling tent revival crusade into a profitable and permanent evangelical church and radio empire for his employers. Elmer Gantry also widely denounced from pulpits across the United States at the time of its initial publication. U.S. obscenity laws were overturned in 1959 by the Supreme Court in Kingsley Pictures Corp. v. Regents."
Lady Chatterley's Lover (1928),D. H. Lawrence,1928,Novel,Temporarily banned in the United States for violation of obscenity laws; the ban was lifted in 1959.[clarification needed]
Tropic of Cancer (1934),Henry Miller,1934,Novel (fictionalized memoir),"Banned in the US in the 1930s until the early 1960s, seized by US Customs for sexually explicit content and vulgarity. The rest of Miller's work was also banned by the US. Also banned in South Africa until the late 1980s."
The Grapes of Wrath (1939),John Steinbeck,1939,Novel,"Was temporarily banned in many places in the US. In the state of California in which it was partially set, it was banned for its alleged unflattering portrayal of residents of the area."
Forever Amber (1944),Kathleen Winsor,1944,Novel,Banned in fourteen states in the US. Ban was lifted by an appeals court judge.
Memoirs of Hecate County (1946),Edmund Wilson,1946,Novel,Banned in the state of New York by the Supreme Court.
Howl (1955),Allen Ginsberg,1955,Poem,"Copies of the first edition seized by San Francisco Customs for obscenity in March 1957; after trial, obscenity charges were dismissed."
Naked Lunch (1959),William S. Burroughs,1959,Novel,"Banned by Boston courts in 1962 for obscenity, but that decision was reversed in 1966 by the Massachusetts Supreme Judicial Court."
Pedagogy of the Oppressed,Paulo Freire,1968,Educative Theory,"Banned in Tucson, Arizona."
"United States – Vietnam Relations, 1945–1967: A Study Prepared by the Department of Defense (1971)",Robert McNamara and the United States Department of Defense,1971,Government study,Also known as the Pentagon Papers. US President Nixon attempted to suspend publication of classified information. The restraint was lifted by the US Supreme Court in a 6–3 decision. See also New York Times Co. v. United States.
The Federal Mafia,Irwin Schiff,1992,Non-fiction,An injunction was issued by a US District Court in Nevada under 26 U.S.C. § 7408 against Irwin Schiff and associates Cynthia Neun and Lawrence Cohen against the sale of this book by those persons as the court found that the information it contains is fraudulent.
60 Years Later: Coming through the Rye,John David California,2009,Novel,"An unauthorized sequel to J. D. Salinger's The Catcher in the Rye. Salinger succeeded in obtaining a court injunction which indefinitely banned the publication, advertising or distribution of the book in the United States, though it has been published in other countries.[citation needed]"
Operation Dark Heart (2010) – oop,Army Reserve Lt. Col. Anthony Shaffer,2010,Memoir,"In September 2010 the U.S. Department of Defense (DoD) overrode the Army's January approval for publication. The DoD then purchased and destroyed all 9,500 first edition copies, citing concerns that it contained classified information which could damage national security. The publisher, St. Martin's Press, in conjunction with the DoD created a second, redacted edition; which contains blacked out words, lines, paragraphs, and portions of the index."
