Title,Author(s),Year published,Year Banned,Year Unbanned,Type,Notes
Areopagitica,John Milton,1644,1644,1695,Essay,Banned in the Kingdom of England for political reasons.
Fanny Hill or Memoirs of a Woman of Pleasure,John Cleland,1748,1749,,Novel,Banned in the UK till after the Second World War.
Rights of Man,Thomas Paine,1791,1792,,Political theory,Banned in the UK and author charged with treason for supporting the French Revolution.
Despised and Rejected,Rose Laure Allatini (under the pseudonym A. T. Fitzroy),1918,1918,1975,Novel,"Banned under the UK's Defence of the Realm Act for criticizing Britain's involvement in World War I, and for sympathetically depicting male homosexuality."
Ulysses (1922),James Joyce,1922,,1936,Novel,Banned in the UK until 1936.
Lady Chatterley's Lover (1928),D. H. Lawrence,1928,,1960,Novel,Banned in the United Kingdom for violation of obscenity laws; the ban was lifted in 1960.[clarification needed]
The Well of Loneliness (1928),Radclyffe Hall,1928,1928,1949,Novel,Banned in the UK in 1928 for its lesbian theme; republished in 1949.
Boy,James Hanley,1931,1934,1992,Novel,Proscuted in 1934 after Hanley's publisher Boriswood lost a court case against a charge of obscenity. Reprinted in 1992 by Penguin Books and André Deutsch.
Lolita,Vladimir Nabokov,1955,1955,1959,Novel,"Banned for being ""obscene""."
Last Exit to Brooklyn,Hubert Selby Jr.,1966 (in the UK),1967,1968,Anthology of short stories,"Banned in Soho for frank depictions of taboo subjects, such as drug use, street violence, homosexuality, gender identity and domestic violence."
Spycatcher,Peter Wright,1985,1985,1988,Autobiography,Banned in the UK 1985–1988 for revealing secrets. Wright was a former MI5 intelligence officer and his book was banned before it was even published in 1987.
Lord Horror,David Britton,1990,1991,1992,Novel,Banned in England in 1991 where it was found obscene; it is currently the last book to be banned in the UK. The judge ordered the remaining print run to be destroyed. The ban was lifted in the Appeal Court in July 1992 but the book remains out of print.
The Anarchist Cookbook,William Powell,1971,*Unknown*,*Unknown*,Instructional,Criminal due to containing information useful to terrorists.
Kill or Get Killed,Rex Applegate,1976,*Unknown*,*Unknown*,Instructional,Criminal due to containing information useful to terrorists.
Put 'Em Down. Take 'Em Out. Knife Fighting Techniques From Folsom Prison,Don Pentecost,*Unknown*,*Unknown*,*Unknown*,Instructional,Criminal due to containing information useful to terrorists.
